category,original_path,cached_path,split,label,defect_type
bottle,/Users/juju/Downloads/archive/bottle/train/good/176.png,bottle/train/normal/176.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/162.png,bottle/val/normal/162.png,val,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/189.png,bottle/train/normal/189.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/002.png,bottle/train/normal/002.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/016.png,bottle/train/normal/016.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/200.png,bottle/train/normal/200.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/201.png,bottle/train/normal/201.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/017.png,bottle/val/normal/017.png,val,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/003.png,bottle/train/normal/003.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/188.png,bottle/val/normal/188.png,val,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/163.png,bottle/train/normal/163.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/177.png,bottle/train/normal/177.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/149.png,bottle/val/normal/149.png,val,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/161.png,bottle/test/normal/161.png,test,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/175.png,bottle/train/normal/175.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/029.png,bottle/train/normal/029.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/015.png,bottle/train/normal/015.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/001.png,bottle/train/normal/001.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/203.png,bottle/train/normal/203.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/202.png,bottle/val/normal/202.png,val,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/000.png,bottle/train/normal/000.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/014.png,bottle/train/normal/014.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/028.png,bottle/train/normal/028.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/174.png,bottle/test/normal/174.png,test,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/160.png,bottle/train/normal/160.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/148.png,bottle/train/normal/148.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/164.png,bottle/val/normal/164.png,val,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/170.png,bottle/val/normal/170.png,val,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/158.png,bottle/train/normal/158.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/010.png,bottle/train/normal/010.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/004.png,bottle/train/normal/004.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/038.png,bottle/train/normal/038.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/206.png,bottle/train/normal/206.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/207.png,bottle/train/normal/207.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/039.png,bottle/train/normal/039.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/005.png,bottle/train/normal/005.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/011.png,bottle/train/normal/011.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/159.png,bottle/train/normal/159.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/171.png,bottle/train/normal/171.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/165.png,bottle/train/normal/165.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/173.png,bottle/train/normal/173.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/167.png,bottle/val/normal/167.png,val,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/198.png,bottle/train/normal/198.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/007.png,bottle/train/normal/007.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/013.png,bottle/val/normal/013.png,val,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/205.png,bottle/train/normal/205.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/204.png,bottle/test/normal/204.png,test,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/012.png,bottle/train/normal/012.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/006.png,bottle/train/normal/006.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/199.png,bottle/train/normal/199.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/166.png,bottle/train/normal/166.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/172.png,bottle/train/normal/172.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/129.png,bottle/train/normal/129.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/115.png,bottle/train/normal/115.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/101.png,bottle/train/normal/101.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/049.png,bottle/train/normal/049.png,train,normal,good
bottle,/Users/juju/Downloads/archive/bottle/train/good/061.png,bottle/test/normal/061.png,test,normal,good
